Axial length (cm),Vitreous volume (mL),Source,Semi-axis a (cm),Semi-axis b (cm)
2.197922310371517,4.050406174903353,Azhdam et al. (2020),1.0923624945696169,0.8374361551857585
2.2428320917182663,4.054121463564703,Azhdam et al. (2020),1.0784836755300693,0.8598910458591331
2.31851417376161,4.64492346672239,Azhdam et al. (2020),1.1274795432487166,0.897732086880805
2.338069611068111,4.840109445199039,Azhdam et al. (2020),1.1440542186788805,0.9075098055340556
2.339000822368421,4.51133306342075,Azhdam et al. (2020),1.1053254130360517,0.9079754111842104
2.3469161184210527,4.819910896196843,Azhdam et al. (2020),1.138957338590974,0.9119330592105264
2.3494590415872825,4.464890245874958,Azhdam et al. (2020),1.0966344963559083,0.9132045207936412
2.3511065692724458,5.035088031166679,Azhdam et al. (2020),1.1620893645851038,0.9140282846362229
2.354831414473684,4.352601609027269,Azhdam et al. (2020),1.0815782092796256,0.9158907072368421
2.377956495098039,4.366664884481766,Azhdam et al. (2020),1.076497740573528,0.9274532475490196
2.3818365421826626,4.967300308222756,Azhdam et al. (2020),1.1448637819151943,0.9293932710913313
2.408376064241486,4.453417223905547,Azhdam et al. (2020),1.0780166008428356,0.942663032120743
2.496375532120743,5.104890424198097,Azhdam et al. (2020),1.1260220953295839,0.9866627660603715
2.589031056501548,5.191684189217426,Azhdam et al. (2020),1.1095586115009795,1.032990528250774
2.603536463294832,5.357953563649807,Azhdam et al. (2020),1.1228067809757347,1.040243231647416
2.511184210526316,5.097690941385434,Azhdam et al. (2020),1.1210497613751986,0.994067105263158
2.2789473684210524,4.25222024866785,Azhdam et al. (2020),1.0922779013982564,0.8779486842105262
2.2796052631578947,4.103019538188277,Azhdam et al. (2020),1.073344585599974,0.8782776315789473
2.323684210526316,4.637655417406749,Azhdam et al. (2020),1.1250035340475242,0.900317105263158
2.376973684210526,4.575488454706926,Azhdam et al. (2020),1.101472987004582,0.926961842105263
2.382236842105263,4.6500888099467135,Azhdam et al. (2020),1.1085876518423172,0.9295934210526315
2.3901315789473685,4.712255772646536,Azhdam et al. (2020),1.1134037299888009,0.9335407894736842
2.3960526315789474,4.737122557726464,Azhdam et al. (2020),1.11449000812161,0.9365013157894737
2.3993421052631576,4.625222024866785,Azhdam et al. (2020),1.1006519720662236,0.9381460526315788
2.405921052631579,4.737122557726464,Azhdam et al. (2020),1.1115655631821486,0.9414355263157894
2.413815789473684,4.761989342806394,Azhdam et al. (2020),1.112069431924674,0.9453828947368419
2.299342105263157,4.314387211367673,Azhdam et al. (2020),1.0936557963830296,0.8881460526315785
2.3019736842105263,4.127886323268206,Azhdam et al. (2020),1.0696993063275613,0.8894618421052631
2.4269736842105263,4.587921847246891,Azhdam et al. (2020),1.088346974353424,0.9519618421052631
2.4296052631578946,4.662522202486677,Azhdam et al. (2020),1.096150813612448,0.9532776315789473
2.4361842105263154,4.5257548845470685,Azhdam et al. (2020),1.0785552322613037,0.9565671052631577
2.4473684210526314,4.600355239786856,Azhdam et al. (2020),1.0839881495582664,0.9621592105263157
2.4414473684210525,4.61278863232682,Azhdam et al. (2020),1.0870839452313774,0.9591986842105262
2.445394736842105,4.699822380106571,Azhdam et al. (2020),1.0958749919061321,0.9611723684210525
2.444736842105263,5.097690941385434,Azhdam et al. (2020),1.1402666738131535,0.9608434210526315
2.450657894736842,4.948490230905861,Azhdam et al. (2020),1.1221664276483685,0.963803947368421
2.460526315789473,5.072824156305505,Azhdam et al. (2020),1.1329095073240476,0.9687381578947365
2.463815789473684,5.234458259325043,Azhdam et al. (2020),1.1493796384706487,0.970382894736842
2.586184210526316,5.582593250444049,Azhdam et al. (2020),1.1503416788617746,1.031567105263158
2.5980263157894736,5.595026642984013,Azhdam et al. (2020),1.1483008525028606,1.0374881578947368
2.611842105263157,5.669626998223801,Azhdam et al. (2020),1.1519226515748993,1.0443960526315785
2.626315789473684,5.682060390763764,Azhdam et al. (2020),1.1491810284137458,1.051632894736842
2.648026315789473,5.744227353463588,Azhdam et al. (2020),1.1493880643458259,1.0624881578947365
2.666447368421053,5.868561278863231,Azhdam et al. (2020),1.1564755686916184,1.0716986842105265
2.218421052631579,4.078152753108348,Azhdam et al. (2020),1.0893311633087437,0.8476855263157894
2.15574229691877,3.77872574484339,de Santana et al. (2021),1.069875168917215,0.816346148459385
2.17664695507833,3.77648069867678,de Santana et al. (2021),1.0627860865542846,0.826798477539165
2.17826797385621,3.58125014854427,de Santana et al. (2021),1.0354186628837763,0.8276089869281049
2.18702147525677,3.77577523130464,de Santana et al. (2021),1.0593722422226028,0.831985737628385
2.18422035480859,3.58116356845769,de Santana et al. (2021),1.0335498797966594,0.8305851774042949
2.19262371615313,3.9798292165351,de Santana et al. (2021),1.084831395606354,0.8347868580765649
2.19589169000934,3.77751786775316,de Santana et al. (2021),1.0567952110294323,0.83642084500467
2.22016806722689,3.97992768016297,de Santana et al. (2021),1.0760048084580935,0.848559033613445
2.23664132319594,3.97968806916706,de Santana et al. (2021),1.070789168941532,0.8567956615979699
2.23884220354809,3.77876479076479,de Santana et al. (2021),1.0436505371766973,0.857896101774045
2.24771241830065,3.97952703505645,de Santana et al. (2021),1.0673259021191108,0.862331209150325
